code_insee_com,nom_com,typologie_territoire,alti_med,latitude,longitude,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med
54291,Lalœuf,Rural à habitat dispersé,300,48.468,6.008,64.5,10.0,4.0,2.0,6.85,16.9,9.5,3.5,3371.0,12129.0
54292,Lamath,Rural à habitat dispersé,216,48.52,6.443,61.55,11.0,5.0,2.0,7.1,15.1,11.65,2.2,2735.5,10980.5
54293,Landécourt,Rural à habitat dispersé,216,48.502,6.422,61.55,11.0,5.0,2.0,7.1,15.1,11.65,2.2,2735.5,10980.5
54294,Landremont,Rural à habitat dispersé,220,48.855,6.152,58.15,10.0,4.0,2.0,6.4,15.0,10.0,4.0,2832.0,11656.0
54295,Landres,Bourgs ruraux,250,49.319,5.808,67.75,10.0,5.0,2.0,5.8,14.8,10.0,2.9,2061.0,9651.0
54296,Laneuvelotte,Rural à habitat dispersé,255,48.725,6.3,52.5,10.0,4.0,1.0,5.8,15.6,10.0,1.7,3195.0,11925.0
54297,Laneuveville-aux-Bois,Rural à habitat dispersé,246,48.623,6.645,61.2,10.0,4.0,2.0,5.1,16.2,11.2,2.75,2825.5,11342.0
54298,Laneuveville-derrière-Foug,Rural à habitat dispersé,270,48.708,5.806,57.0,10.0,5.0,1.0,6.0,14.1,11.7,3.3,2725.0,11344.0
54299,Laneuveville-devant-Bayon,Rural à habitat dispersé,350,48.471,6.264,60.6,10.0,4.0,2.0,7.1,15.1,11.65,2.3,3371.0,12129.0
54300,Laneuveville-devant-Nancy,Ceintures urbaines,212,48.646,6.241,56.35,10.0,4.0,1.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54301,Lanfroicourt,Rural à habitat dispersé,255,48.806,6.319,52.5,10.0,4.0,1.0,5.8,15.6,10.0,1.7,3195.0,11925.0
54302,Lantéfontaine,Rural à habitat dispersé,250,49.253,5.886,67.75,10.0,5.0,2.0,5.7,16.6,10.2,3.3,2061.0,9651.0
54303,Laronxe,Rural à habitat dispersé,246,48.544,6.598,61.2,10.0,4.0,2.0,4.8,14.9,10.1,2.2,2735.5,10980.5
54304,Laxou,Grands centres urbains,213,48.682,6.114,54.05,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54305,Lay-Saint-Christophe,Bourgs ruraux,213,48.754,6.195,54.05,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54306,Lay-Saint-Remy,Rural à habitat dispersé,270,48.682,5.761,57.0,10.0,5.0,1.0,6.0,14.1,11.7,3.5,2725.0,11344.0
54307,Lebeuville,Rural à habitat dispersé,350,48.434,6.241,60.6,10.0,4.0,2.0,7.1,15.1,11.65,2.3,3371.0,12129.0
54308,Leintrey,Rural à habitat dispersé,219,48.628,6.744,55.2,9.0,4.0,1.0,5.1,16.2,10.0,2.2,2825.5,11342.0
54309,Lemainville,Rural à habitat dispersé,350,48.506,6.187,60.6,10.0,4.0,2.0,6.85,16.9,11.65,2.8,2514.0,10589.0
54310,Leménil-Mitry,Rural à habitat très dispersé,350,48.453,6.255,60.6,10.0,4.0,2.0,7.1,15.1,11.65,2.3,3371.0,12129.0
54311,Lenoncourt,Rural à habitat dispersé,248,48.671,6.3,56.4,10.5,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54312,Lesménils,Rural à habitat dispersé,180,48.932,6.111,61.0,9.0,4.0,2.0,6.75,17.2,9.6,2.7,2424.5,10055.5
54313,Létricourt,Rural à habitat dispersé,220,48.875,6.285,58.15,10.0,4.0,2.0,6.4,15.0,10.0,4.0,2832.0,11656.0
54314,Lexy,Ceintures urbaines,285,49.503,5.729,98.1,12.0,6.0,3.0,5.0,15.0,10.2,3.2,2061.0,9651.0
54315,Leyr,Bourgs ruraux,220,48.802,6.269,58.15,10.0,4.0,2.0,5.8,15.6,10.0,1.7,3195.0,11925.0
54316,Limey-Remenauville,Rural à habitat dispersé,227,48.894,5.902,59.7,11.0,4.0,1.0,4.4,16.2,9.4,3.3,2725.0,11344.0
54317,Lironville,Rural à habitat dispersé,227,48.867,5.912,59.7,11.0,4.0,1.0,5.1,14.0,9.4,3.3,2725.0,11344.0
54318,Liverdun,Ceintures urbaines,213,48.754,6.052,54.05,10.0,4.0,2.0,5.1,14.0,9.4,3.3,2514.0,10589.0
54320,Loisy,Rural à habitat dispersé,180,48.867,6.098,61.0,9.0,4.0,2.0,6.75,17.2,9.4,3.3,2832.0,11656.0
54321,Longlaville,Centres urbains intermédiaires,285,49.534,5.802,98.1,12.0,6.0,3.0,5.8,14.8,10.2,3.2,2061.0,9651.0
54322,Longuyon,Bourgs ruraux,345,49.458,5.592,66.4,11.0,5.0,2.0,6.4,14.15,9.9,3.2,NA,NA
