code_insee_com,typologie_territoire,alti_med,latitude,longitude,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Insolation_med,Rayonnement_med,Force_vent_med,Tens_vap_med
70049,Rural à habitat dispersé,342,47.87,5.84,65.9,10.0,5.0,1.0,5.8,15.1,2967.0,11972.0,2.0,10.3
70050,Rural à habitat dispersé,240,47.408,6.17,89.8,12.0,6.0,3.0,6.3,16.65,3039.5,11655.5,2.05,10.2
70051,Rural à habitat très dispersé,330,47.948,6.055,74.45,10.0,5.0,2.0,5.9,16.5,2967.0,11972.0,2.0,10.3
70052,Rural à habitat dispersé,218,47.825,6.183,62.55,9.0,5.0,2.0,5.3,16.9,2760.5,10948.5,2.2,10.2
70053,Rural à habitat très dispersé,200,47.502,5.896,73.4,11.0,5.0,2.0,6.6,17.55,2964.0,11457.5,2.05,10.2
70054,Rural à habitat dispersé,208,47.427,5.642,66.4,8.0,5.0,2.0,7.1,16.3,3004.0,12060.0,2.5,10.6
70055,Rural à habitat dispersé,271,47.775,6.344,77.1,11.0,5.0,2.0,4.7,15.7,2760.5,10948.5,2.3,9.6
70056,Rural à habitat dispersé,243,47.788,6.016,64.9,10.0,5.0,2.0,5.9,16.5,3039.5,11655.5,2.0,10.3
70057,Rural à habitat dispersé,230,47.295,5.716,72.1,10.0,5.0,2.0,8.05,19.1,3021.0,11776.0,2.3,10.3
70058,Bourgs ruraux,244,47.499,5.694,62.85,10.0,4.0,2.0,5.75,15.4,2985.0,10705.0,2.1,10.1
70059,Rural à habitat dispersé,240,47.434,6.161,89.8,12.0,6.0,3.0,6.3,16.65,3039.5,11655.5,2.05,10.2
70060,Rural à habitat dispersé,230,47.318,5.832,72.1,10.0,5.0,2.0,6.6,17.55,2964.0,11457.5,0.5,12.5
70061,Rural à habitat dispersé,847,47.786,6.732,145.95,13.0,8.0,5.0,5.7,12.6,2853.0,11013.0,2.2,8.6
70062,Rural à habitat très dispersé,331,47.781,6.498,97.6,12.0,7.0,3.0,4.7,15.7,2760.5,10948.5,2.3,9.6
70063,Rural à habitat dispersé,331,47.774,6.609,97.6,12.0,7.0,3.0,5.7,12.6,2853.0,11013.0,2.2,8.6
70064,Rural à habitat dispersé,425,47.627,6.655,94.5,12.0,7.0,3.0,7.1,15.5,3009.0,11773.0,2.2,8.6
70065,Rural à habitat dispersé,256,47.45,6.252,61.85,8.5,4.5,2.0,6.9,17.5,3039.5,11655.5,2.05,10.2
70066,Rural à habitat dispersé,243,47.865,5.919,64.9,10.0,5.0,2.0,5.9,16.5,2967.0,11972.0,2.0,10.3
70067,Rural à habitat dispersé,271,47.738,6.343,77.1,11.0,5.0,2.0,4.7,15.7,2760.5,10948.5,2.3,9.6
70069,Rural à habitat très dispersé,314,47.918,6.182,83.9,10.0,5.0,3.0,6.0,15.9,2781.0,10708.0,1.1,9.6
70070,Rural à habitat très dispersé,362,47.838,5.755,76.5,11.0,5.0,2.0,6.1,14.9,2985.0,10705.0,2.0,10.3
70071,Rural à habitat très dispersé,450,47.869,6.673,142.8,14.0,9.0,5.0,4.25,15.8,2853.0,11013.0,2.2,8.6
70072,Rural à habitat dispersé,290,47.56,6.491,77.1,11.0,5.5,2.0,6.1,15.85,2935.0,10822.0,2.3,10.3
70074,Rural à habitat dispersé,243,47.886,5.871,64.9,10.0,5.0,2.0,5.9,16.5,2967.0,11972.0,2.0,10.3
70075,Rural à habitat dispersé,230,47.341,5.696,72.1,10.0,5.0,2.0,6.1,15.8,3021.0,11776.0,2.3,10.3
70076,Rural à habitat dispersé,341,47.394,5.931,85.3,11.0,6.0,3.0,6.6,17.55,2964.0,11457.5,2.05,10.2
70077,Rural à habitat dispersé,290,47.581,6.352,77.1,11.0,5.5,2.0,6.1,15.85,2935.0,10822.0,2.3,10.3
70078,Rural à habitat dispersé,243,47.783,5.862,64.9,10.0,5.0,2.0,4.6,16.2,2985.0,10705.0,2.0,10.3
70079,Rural à habitat dispersé,275,47.695,6.108,71.9,10.0,5.0,2.0,6.4,16.0,3039.5,11655.5,2.2,10.2
70080,Rural à habitat dispersé,202,47.473,5.51,69.75,11.0,5.0,2.0,7.1,16.3,3004.0,12060.0,2.5,10.6
70081,Rural à habitat dispersé,271,47.696,6.438,77.1,11.0,5.0,2.0,4.7,15.7,2760.5,10948.5,2.3,9.6
70082,Rural à habitat dispersé,256,47.486,6.28,61.85,8.5,4.5,2.0,6.9,17.5,2935.0,10822.0,2.3,10.3
70083,Rural à habitat dispersé,314,47.912,6.248,83.9,10.0,5.0,3.0,6.0,15.9,2781.0,10708.0,1.1,9.6
70084,Rural à habitat dispersé,341,47.355,5.96,85.3,11.0,6.0,3.0,6.4,15.6,2964.0,11457.5,1.8,9.85
70085,Rural à habitat dispersé,341,47.385,6.002,85.3,11.0,6.0,3.0,6.3,16.65,2964.0,11457.5,2.05,10.2
70086,Rural à habitat très dispersé,243,47.915,5.945,64.9,10.0,5.0,2.0,5.9,16.5,2967.0,11972.0,2.0,10.3
70087,Rural à habitat dispersé,218,47.816,6.157,62.55,9.0,5.0,2.0,5.3,16.9,3039.5,11655.5,2.2,10.2
70088,Rural à habitat dispersé,203,47.508,5.965,75.8,12.0,5.0,3.0,6.3,16.65,2964.0,11457.5,2.05,10.2
70089,Rural à habitat très dispersé,362,47.707,5.707,76.5,11.0,5.0,2.0,6.1,14.9,2985.0,10705.0,2.1,10.3
70090,Rural à habitat dispersé,203,47.614,6.037,75.8,12.0,5.0,3.0,6.4,16.0,3039.5,11655.5,2.2,10.2
70091,Rural à habitat très dispersé,330,47.963,5.936,74.45,10.0,5.0,2.0,5.8,15.1,2967.0,11972.0,2.0,10.3
70092,Rural à habitat dispersé,305,47.262,5.633,59.7,7.0,5.0,2.0,6.1,15.8,3021.0,11776.0,2.3,10.3
70093,Rural à habitat dispersé,271,47.8,6.328,77.1,11.0,5.0,2.0,4.7,15.7,2760.5,10948.5,2.3,9.6
70094,Bourgs ruraux,306,47.831,6.462,87.8,11.0,6.0,3.0,5.8,15.9,2781.0,10708.0,1.1,9.6
70095,Rural à habitat dispersé,218,47.745,6.145,62.55,9.0,5.0,2.0,5.3,16.9,3039.5,11655.5,2.2,10.2
70096,Ceintures urbaines,392,47.579,6.796,78.15,11.0,6.0,2.0,6.85,15.6,3009.0,11773.0,2.6,9.9
70097,Rural à habitat dispersé,271,47.82,6.247,77.1,11.0,5.0,2.0,5.3,16.9,2760.5,10948.5,2.3,9.6
70098,Rural à habitat dispersé,271,47.75,6.345,77.1,11.0,5.0,2.0,4.7,15.7,2760.5,10948.5,2.3,9.6
70099,Rural à habitat dispersé,200,47.607,5.737,73.4,11.0,5.0,2.0,5.75,15.4,2985.0,10705.0,2.1,10.1
70100,Rural à habitat très dispersé,202,47.459,5.43,69.75,11.0,5.0,2.0,5.6,15.7,3004.0,12060.0,2.5,10.6
70101,Rural à habitat dispersé,202,47.331,5.519,69.75,11.0,5.0,2.0,6.1,15.8,3021.0,11776.0,2.3,10.3
70102,Rural à habitat dispersé,230,47.307,5.809,72.1,10.0,5.0,2.0,6.6,17.55,2964.0,11457.5,0.5,12.5
70103,Rural à habitat très dispersé,297,47.813,6.47,86.1,13.0,7.0,2.0,4.7,15.7,2760.5,10948.5,2.3,9.6
70104,Rural à habitat dispersé,230,47.406,5.86,72.1,10.0,5.0,2.0,6.6,17.55,2964.0,11457.5,1.8,9.85
70105,Rural à habitat très dispersé,203,47.629,5.985,75.8,12.0,5.0,3.0,6.4,16.0,3039.5,11655.5,2.2,10.2
70106,Rural à habitat dispersé,243,47.813,6.022,64.9,10.0,5.0,2.0,5.9,16.5,3039.5,11655.5,2.0,10.3
70107,Rural à habitat dispersé,341,47.344,5.985,85.3,11.0,6.0,3.0,6.4,15.6,2964.0,11457.5,1.8,9.85
70109,Rural à habitat dispersé,341,47.357,6.032,85.3,11.0,6.0,3.0,6.3,16.65,2964.0,11457.5,2.05,10.2
70111,Rural à habitat dispersé,360,47.644,6.283,68.6,10.0,5.0,2.0,7.4,15.3,3039.5,11655.5,3.5,10.0
70112,Rural à habitat dispersé,243,47.843,5.854,64.9,10.0,5.0,2.0,5.9,16.5,2967.0,11972.0,2.0,10.3
70113,Rural à habitat dispersé,240,47.433,6.189,89.8,12.0,6.0,3.0,6.3,16.65,3039.5,11655.5,2.05,10.2
70114,Rural à habitat dispersé,243,47.84,5.939,64.9,10.0,5.0,2.0,5.9,16.5,2967.0,11972.0,2.0,10.3
70115,Rural à habitat dispersé,256,47.588,6.317,61.85,8.5,4.5,2.0,6.1,15.85,2935.0,10822.0,2.3,10.3
70116,Rural à habitat dispersé,370,47.621,6.735,69.95,8.0,5.0,3.0,6.85,15.6,3009.0,11773.0,2.6,9.9
